SAMPLE	TYPE	COUNT
S1067	HIGH	570
S1067	MODERATE	10883
S1067	MODIFIER	8475
S1067	LOW	12508
S10988-281	HIGH	645
S10988-281	MODERATE	11120
S10988-281	MODIFIER	13890
S10988-281	LOW	13753
S10988-283	HIGH	617
S10988-283	MODERATE	10811
S10988-283	MODIFIER	13394
S10988-283	LOW	13453
S10988-288	HIGH	619
S10988-288	MODERATE	11060
S10988-288	MODIFIER	13606
S10988-288	LOW	13705
S10988-289	HIGH	623
S10988-289	MODERATE	11040
S10988-289	MODIFIER	13619
S10988-289	LOW	13587
S1K	HIGH	493
S1K	MODERATE	8895
S1K	MODIFIER	5409
S1K	LOW	10189
S2017CH01658BLD001A1DA1	HIGH	631
S2017CH01658BLD001A1DA1	MODERATE	11104
S2017CH01658BLD001A1DA1	MODIFIER	12444
S2017CH01658BLD001A1DA1	LOW	12536
S2017CH01666BLD001A1DA1	HIGH	638
S2017CH01666BLD001A1DA1	MODERATE	11305
S2017CH01666BLD001A1DA1	MODIFIER	12649
S2017CH01666BLD001A1DA1	LOW	12869
S2017CH01667BLD001A1DA1	HIGH	687
S2017CH01667BLD001A1DA1	MODERATE	11752
S2017CH01667BLD001A1DA1	MODIFIER	13095
S2017CH01667BLD001A1DA1	LOW	13183
S2017CH01668BLD001A1DA1	HIGH	644
S2017CH01668BLD001A1DA1	MODERATE	11270
S2017CH01668BLD001A1DA1	MODIFIER	12742
S2017CH01668BLD001A1DA1	LOW	12791
S2017CH01669BLD001A1DA1	HIGH	664
S2017CH01669BLD001A1DA1	MODERATE	11438
S2017CH01669BLD001A1DA1	MODIFIER	12898
S2017CH01669BLD001A1DA1	LOW	12972
S2017CH01671BLD001A1DA1	HIGH	617
S2017CH01671BLD001A1DA1	MODERATE	11032
S2017CH01671BLD001A1DA1	MODIFIER	12607
S2017CH01671BLD001A1DA1	LOW	12586
S2017CH01672BLD001A1DA1	HIGH	626
S2017CH01672BLD001A1DA1	MODERATE	11122
S2017CH01672BLD001A1DA1	MODIFIER	12398
S2017CH01672BLD001A1DA1	LOW	12664
S2017CH01680BLD001A1DA1	HIGH	627
S2017CH01680BLD001A1DA1	MODERATE	11247
S2017CH01680BLD001A1DA1	MODIFIER	12804
S2017CH01680BLD001A1DA1	LOW	12716
S2017CH01683BLD001A1DA1	HIGH	634
S2017CH01683BLD001A1DA1	MODERATE	11466
S2017CH01683BLD001A1DA1	MODIFIER	12561
S2017CH01683BLD001A1DA1	LOW	12695
