EXPTYPE	SAMPLE	TYPE	COUNT
wes	S1067	HIGH	570
wes	S1067	MODERATE	10883
wes	S1067	MODIFIER	8475
wes	S1067	LOW	12508
wes	S10988-281	HIGH	645
wes	S10988-281	MODERATE	11120
wes	S10988-281	MODIFIER	13890
wes	S10988-281	LOW	13753
wes	S10988-283	HIGH	617
wes	S10988-283	MODERATE	10811
wes	S10988-283	MODIFIER	13394
wes	S10988-283	LOW	13453
wes	S10988-288	HIGH	619
wes	S10988-288	MODERATE	11060
wes	S10988-288	MODIFIER	13606
wes	S10988-288	LOW	13705
wes	S10988-289	HIGH	623
wes	S10988-289	MODERATE	11040
wes	S10988-289	MODIFIER	13619
wes	S10988-289	LOW	13587
wes	S1K	HIGH	493
wes	S1K	MODERATE	8895
wes	S1K	MODIFIER	5409
wes	S1K	LOW	10189
wes	S2017CH01658BLD001A1DA1	HIGH	631
wes	S2017CH01658BLD001A1DA1	MODERATE	11104
wes	S2017CH01658BLD001A1DA1	MODIFIER	12444
wes	S2017CH01658BLD001A1DA1	LOW	12536
wes	S2017CH01666BLD001A1DA1	HIGH	638
wes	S2017CH01666BLD001A1DA1	MODERATE	11305
wes	S2017CH01666BLD001A1DA1	MODIFIER	12649
wes	S2017CH01666BLD001A1DA1	LOW	12869
wes	S2017CH01667BLD001A1DA1	HIGH	687
wes	S2017CH01667BLD001A1DA1	MODERATE	11752
wes	S2017CH01667BLD001A1DA1	MODIFIER	13095
wes	S2017CH01667BLD001A1DA1	LOW	13183
wes	S2017CH01668BLD001A1DA1	HIGH	644
wes	S2017CH01668BLD001A1DA1	MODERATE	11270
wes	S2017CH01668BLD001A1DA1	MODIFIER	12742
wes	S2017CH01668BLD001A1DA1	LOW	12791
wes	S2017CH01669BLD001A1DA1	HIGH	664
wes	S2017CH01669BLD001A1DA1	MODERATE	11438
wes	S2017CH01669BLD001A1DA1	MODIFIER	12898
wes	S2017CH01669BLD001A1DA1	LOW	12972
wes	S2017CH01671BLD001A1DA1	HIGH	617
wes	S2017CH01671BLD001A1DA1	MODERATE	11032
wes	S2017CH01671BLD001A1DA1	MODIFIER	12607
wes	S2017CH01671BLD001A1DA1	LOW	12586
wes	S2017CH01672BLD001A1DA1	HIGH	626
wes	S2017CH01672BLD001A1DA1	MODERATE	11122
wes	S2017CH01672BLD001A1DA1	MODIFIER	12398
wes	S2017CH01672BLD001A1DA1	LOW	12664
wes	S2017CH01680BLD001A1DA1	HIGH	627
wes	S2017CH01680BLD001A1DA1	MODERATE	11247
wes	S2017CH01680BLD001A1DA1	MODIFIER	12804
wes	S2017CH01680BLD001A1DA1	LOW	12716
wes	S2017CH01683BLD001A1DA1	HIGH	634
wes	S2017CH01683BLD001A1DA1	MODERATE	11466
wes	S2017CH01683BLD001A1DA1	MODIFIER	12561
wes	S2017CH01683BLD001A1DA1	LOW	12695
wes	S2017CH01687BLD001A1DA1	HIGH	608
wes	S2017CH01687BLD001A1DA1	MODERATE	11168
wes	S2017CH01687BLD001A1DA1	MODIFIER	12502
wes	S2017CH01687BLD001A1DA1	LOW	12680
wes	S2017CH01688BLD001A1DA1	HIGH	637
wes	S2017CH01688BLD001A1DA1	MODERATE	11131
wes	S2017CH01688BLD001A1DA1	MODIFIER	12582
wes	S2017CH01688BLD001A1DA1	LOW	12668
wes	S2017CH01690BLD001A1DA1	HIGH	668
wes	S2017CH01690BLD001A1DA1	MODERATE	11373
wes	S2017CH01690BLD001A1DA1	MODIFIER	12682
wes	S2017CH01690BLD001A1DA1	LOW	12857
ces	S319-TS	HIGH	131
ces	S319-TS	MODERATE	3014
ces	S319-TS	MODIFIER	985
ces	S319-TS	LOW	4331
ces	S3204	HIGH	110
ces	S3204	MODERATE	2380
ces	S3204	MODIFIER	3198
ces	S3204	LOW	3544
ces	S3205	HIGH	111
ces	S3205	MODERATE	2403
ces	S3205	MODIFIER	3190
ces	S3205	LOW	3590
wes	SA12-2	HIGH	629
wes	SA12-2	MODERATE	10967
wes	SA12-2	MODIFIER	13073
wes	SA12-2	LOW	13274
wes	SA13-2	HIGH	635
wes	SA13-2	MODERATE	11133
wes	SA13-2	MODIFIER	13632
wes	SA13-2	LOW	13644
wes	SA14-2	HIGH	596
wes	SA14-2	MODERATE	10966
wes	SA14-2	MODIFIER	12853
wes	SA14-2	LOW	13384
wes	SA2-2	HIGH	641
wes	SA2-2	MODERATE	11092
wes	SA2-2	MODIFIER	13402
wes	SA2-2	LOW	13535
wes	SA4-2	HIGH	620
wes	SA4-2	MODERATE	10935
wes	SA4-2	MODIFIER	13020
wes	SA4-2	LOW	13297
wes	SA5-2	HIGH	598
wes	SA5-2	MODERATE	11140
wes	SA5-2	MODIFIER	13362
wes	SA5-2	LOW	13557
wes	SA6-2	HIGH	665
wes	SA6-2	MODERATE	11237
wes	SA6-2	MODIFIER	13303
wes	SA6-2	LOW	13568
wes	SA7-2	HIGH	651
wes	SA7-2	MODERATE	11043
wes	SA7-2	MODIFIER	13505
wes	SA7-2	LOW	13542
wes	SAlmaz01	HIGH	605
wes	SAlmaz01	MODERATE	10375
wes	SAlmaz01	MODIFIER	34092
wes	SAlmaz01	LOW	12782
wes	SAlmaz02	HIGH	554
wes	SAlmaz02	MODERATE	10287
wes	SAlmaz02	MODIFIER	33885
wes	SAlmaz02	LOW	12707
wes	SAlmaz03	HIGH	615
wes	SAlmaz03	MODERATE	10709
wes	SAlmaz03	MODIFIER	34612
wes	SAlmaz03	LOW	12872
wes	SAlmaz04	HIGH	531
wes	SAlmaz04	MODERATE	10384
wes	SAlmaz04	MODIFIER	34203
wes	SAlmaz04	LOW	12772
wes	SAlmaz05	HIGH	529
wes	SAlmaz05	MODERATE	10217
wes	SAlmaz05	MODIFIER	33463
wes	SAlmaz05	LOW	12645
wes	SAlmaz06	HIGH	576
wes	SAlmaz06	MODERATE	10364
wes	SAlmaz06	MODIFIER	33982
wes	SAlmaz06	LOW	12637
wes	SAlmaz07	HIGH	578
wes	SAlmaz07	MODERATE	10271
wes	SAlmaz07	MODIFIER	33535
wes	SAlmaz07	LOW	12511
wes	SAlmaz08	HIGH	548
wes	SAlmaz08	MODERATE	10313
wes	SAlmaz08	MODIFIER	33564
wes	SAlmaz08	LOW	12581
wes	SAlmaz09	HIGH	584
wes	SAlmaz09	MODERATE	10458
wes	SAlmaz09	MODIFIER	34012
wes	SAlmaz09	LOW	12630
wes	SB0-0002	HIGH	625
wes	SB0-0002	MODERATE	11023
wes	SB0-0002	MODIFIER	13753
wes	SB0-0002	LOW	13746
wes	SB0-0005	HIGH	665
wes	SB0-0005	MODERATE	11386
wes	SB0-0005	MODIFIER	13824
wes	SB0-0005	LOW	13686
wes	SB00009	HIGH	390
wes	SB00009	MODERATE	7356
wes	SB00009	MODIFIER	7497
wes	SB00009	LOW	8687
wes	SB1-0002	HIGH	647
wes	SB1-0002	MODERATE	11343
wes	SB1-0002	MODIFIER	13802
wes	SB1-0002	LOW	13867
wes	SB1-0003	HIGH	679
wes	SB1-0003	MODERATE	11485
wes	SB1-0003	MODIFIER	14113
wes	SB1-0003	LOW	13787
wes	SB1-0020	HIGH	661
wes	SB1-0020	MODERATE	11107
wes	SB1-0020	MODIFIER	13888
wes	SB1-0020	LOW	13573
wes	SB1-0055	HIGH	646
wes	SB1-0055	MODERATE	11371
wes	SB1-0055	MODIFIER	13830
wes	SB1-0055	LOW	13860
wes	SB1-0089	HIGH	652
wes	SB1-0089	MODERATE	11235
wes	SB1-0089	MODIFIER	14001
wes	SB1-0089	LOW	13924
wes	SB1-0327	HIGH	681
wes	SB1-0327	MODERATE	11463
wes	SB1-0327	MODIFIER	13794
wes	SB1-0327	LOW	13880
wes	SB10001	HIGH	662
wes	SB10001	MODERATE	11163
wes	SB10001	MODIFIER	13748
wes	SB10001	LOW	13637
wes	SB10050	HIGH	641
wes	SB10050	MODERATE	11024
wes	SB10050	MODIFIER	13821
wes	SB10050	LOW	13364
wes	SB10079	HIGH	650
wes	SB10079	MODERATE	10980
wes	SB10079	MODIFIER	13703
wes	SB10079	LOW	13450
wes	SB10083	HIGH	639
wes	SB10083	MODERATE	11206
wes	SB10083	MODIFIER	13797
wes	SB10083	LOW	13803
wes	SB10087	HIGH	669
wes	SB10087	MODERATE	11355
wes	SB10087	MODIFIER	13760
wes	SB10087	LOW	13720
wes	SB10095	HIGH	696
wes	SB10095	MODERATE	11218
wes	SB10095	MODIFIER	13916
wes	SB10095	LOW	13652
wes	SB10117	HIGH	382
wes	SB10117	MODERATE	6814
wes	SB10117	MODIFIER	6902
wes	SB10117	LOW	8095
wes	SB4-0003	HIGH	633
wes	SB4-0003	MODERATE	11319
wes	SB4-0003	MODIFIER	14048
wes	SB4-0003	LOW	13791
wes	SB4-0004	HIGH	643
wes	SB4-0004	MODERATE	11214
wes	SB4-0004	MODIFIER	13892
wes	SB4-0004	LOW	13597
wes	SB4-0008	HIGH	656
wes	SB4-0008	MODERATE	11151
wes	SB4-0008	MODIFIER	13614
wes	SB4-0008	LOW	13620
wes	SB4-0022	HIGH	677
wes	SB4-0022	MODERATE	11107
wes	SB4-0022	MODIFIER	14028
wes	SB4-0022	LOW	13647
wes	SB4-0032	HIGH	671
wes	SB4-0032	MODERATE	11243
wes	SB4-0032	MODIFIER	13887
wes	SB4-0032	LOW	13671
wes	SB4-0040	HIGH	670
wes	SB4-0040	MODERATE	11248
wes	SB4-0040	MODIFIER	13995
wes	SB4-0040	LOW	13776
wes	SB40014	HIGH	651
wes	SB40014	MODERATE	11430
wes	SB40014	MODIFIER	13953
wes	SB40014	LOW	13877
wes	SB40027	HIGH	658
wes	SB40027	MODERATE	11219
wes	SB40027	MODIFIER	13787
wes	SB40027	LOW	13752
wes	SB40038	HIGH	665
wes	SB40038	MODERATE	11332
wes	SB40038	MODIFIER	13740
wes	SB40038	LOW	13724
wes	SB40039	HIGH	438
